,movie_title,soup
1605,Analyze This,color haroldramis chazzpalminteri comedy crime robertdeniro mollyshannon analyst mafia patient psychiatrist wedding english usa r
1606,The Notebook,color nickcassavetes kevinconnolly drama romance ryangosling genarowlands classdifferences letter nursinghome secondchance summerlove english usa pg-13
1607,27 Dresses,color annefletcher berncohen comedy romance judygreer yettagottesman boss bridesmaid friend love wedding english usa pg-13
1608,Hannah Montana: The Movie,color peterchelsom vanessawilliams comedy drama family music romance emilyosment moisesarias farm femaleprotagonist hannahmontana horsebackriding overalls english usa g
1609,Rugrats in Paris: The Movie,color stigbergqvist caseykasem adventure animation comedy family romance elizabethdaily debbiereynolds amusementpark baby france parisfrance villain english germany g
1610,The Prince of Tides,color barbrastreisand blythedanner drama romance georgecarlin melindadillon newyork psychiatrist shrimper southcarolina twins english usa r
1611,Legends of the Fall,color edwardzwick bradpitt drama romance war western anthonyhopkins juliaormond epic heart killingananimal passion usa english usa r
1612,Up in the Air,color jasonreitman annakendrick drama romance j.k.simmons chrislowell airport businesstrip downsizing ontheroad travel english usa r
1613,About Schmidt,color alexanderpayne junesquibb comedy drama hopedavis howardhesseman highwaytravel ontheroad retirement roadmovie wedding english usa r
1614,Warm Bodies,color jonathanlevine vincentleclerc comedy horror romance coryhardrict danielrindress-kay fight memory teenager undead zombie english usa pg-13
1615,Looper,color rianjohnson brucewillis action crime drama sci-fi thriller josephgordon-levitt traciethoms chase future surpriseending timeloop timetravel english usa r
1616,Down to Earth,color chrisweitz markaddy comedy fantasy chazzpalminteri wandasykes angel butler heaven manhattannewyorkcity reincarnation english usa pg-13
1617,Babe,color chrisnoonan christinecavanaugh comedy drama family miriammargolyes roscoeleebrowne dog farmer pig sheep sheepdog english australia g
1618,Hope Springs,color davidfrankel stevecarell comedy drama romance merylstreep jeansmart couple intimacy marriage marriagecounseling middleagecouple english usa pg-13
1619,Forgetting Sarah Marshall,color nicholasstoller jackmcbrayer comedy drama romance milakunis mariathayer breakup hawaii hotel malefullfrontalnudity resort english usa r
1621,Four Brothers,color johnsingleton tonynappo action crime drama mystery thriller joshcharles fionnulaflanagan barebutt corruptpolice fourbrothers funeral murder english usa r
1622,Baby Mama,color michaelmccullers amypoehler comedy romance tinafey romanymalco baby book cartoonontv femaleprotagonist maleanorexia english usa pg-13
1623,Hope Floats,color forestwhitaker harryconnickjr. drama romance billcobbs genarowlands bestfriend friend motherdaughterrelationship smalltown texas english usa pg-13
1624,Bride Wars,color garywinick stevehowey comedy romance annehathaway candicebergen bestfriend dyedhair faketan rivalry wedding english usa pg
1625,Without a Paddle,color stevenbrill scottadsit adventure comedy mystery antonystarr bonniesomerville death friend hijacker river treehouse english usa pg-13
1626,13 Going on 30,color garywinick judygreer comedy fantasy romance jennifergarner christab.allen 13yearold 13thbirthday 30yearold wish year1987 english usa pg-13
1627,Midnight in Paris,color woodyallen audreyfleurot comedy fantasy romance kurtfuller ninaarianda 1920s goldenage midnight parisfrance timetravelromance english spain pg-13
1628,The Nut Job,color peterlepeniotis brendanfraser adventure animation comedy family liamneeson sarahgadon bankrobbery heist raccoon rat squirrel english canada pg
1629,Blow,color teddemme ethansuplee biography crime drama johnnydepp jordimollà 1960s 1970s california cocaine wealth english usa r
1630,Message in a Bottle,color luismandoki johnsavage drama romance robinwright raphaelsbarge beach bottle jogging letter love english usa pg-13
1631,Star Trek V: The Final Frontier,color williamshatner nichellenichols action adventure sci-fi thriller leonardnimoy walterkoenig captain halfbrother klingon planet vulcan english usa pg
1632,Like Mike,color johnschultz robertforster comedy family fantasy sport brendasong annemeara basketball lightning nba orphanage shoe english usa pg
1633,Naked Gun 33 1/3: The Final Insult,color petersegal fredward comedy crime georgekennedy priscillapresley retirement spoof terrorist transsexual undercover english usa pg-13
1634,A View to a Kill,color johnglen alisondoody action adventure thriller patrickmacnee tanyaroberts computer earthquake microchip officialjamesbondseries siliconvalley english uk pg
1635,The Curse of the Were-Rabbit,color stevebox geraldinemcewan animation comedy family mystery sci-fi markgatiss petersallis competition giantvegetable pestcontrol stopmotionanimation vegetable english uk g
1636,P.S. I Love You,color richardlagravenese harryconnickjr. drama romance gerardbutler nelliemckay birthday friendship hairychest letter widow english usa pg-13
1638,Atonement,color joewright alfieallen drama mystery romance war benedictcumberbatch brendablethyn deathofsister dying lossofvirginity septicemia sex english uk r
1639,Letters to Juliet,color garywinick marciadebonis comedy drama romance vanessaredgrave luisaranieri chickflick femaleprotagonist italianstereotype maninaswimsuit veronaitaly english usa pg
1640,Black Rain,color ridleyscott kentakakura action crime thriller stephenroot katecapshaw counterfeit detective japan policechase yakuza english usa r
1642,Corpse Bride,color timburton christopherlee animation drama family fantasy musical romance johnnydepp joannalumley arrangedmarriage bride corpse groom woods english usa pg
1644,Sicario,color denisvilleneuve bernardosaracino action crime drama mystery thriller edgararreola danielkaluuya criticallyacclaimed drugcartel juarezmexico u.s.mexicoborder warondrugs english usa r
1645,Southpaw,color antoinefuqua 50cent drama sport jakegyllenhaal oonalaurence boxer boxingtraining deathofwife maleinshower rage english usa r
1646,Drag Me to Hell,color samraimi alisonlohman horror thriller bojananovakovic reggielee evil fight hell psychic psychologist english usa pg-13
1647,The Age of Adaline,color leetolandkrieger michielhuisman drama fantasy romance harrisonford ellenburstyn hitbyapickuptruck immortality paramedic resuscitation sanfranciscocalifornia english usa pg-13
1648,Secondhand Lions,color timmccanlies robertduvall comedy drama family haleyjoelosment emmanuellevaugier africa eyeglasses money texas veteran english usa pg
1649,Step Up 3D,color jonm.chu stephenboss drama music romance alysonstoner facundolombard dance dancecrew dancer mortgage newyorkcity english usa pg-13
1650,Blue Crush,color johnstockwell mikaboorem drama romance sport faizonlove sanoelake bikini femalesurfer sistersisterrelationship surfingcontest swimsuit english usa pg-13
1651,Stranger Than Fiction,color marcforster christianstolte comedy drama fantasy romance willferrell dannyrhodes author fate novelist professor writer english usa pg-13
1652,30 Days of Night,color davidslade markrendall horror dannyhuston meganfranich alaska smalltown snow vampire winter english usa r
1653,The Cabin in the Woods,color drewgoddard bradleywhitford fantasy horror mystery thriller chrishemsworth kristenconnolly cabininthewoods darkhumor hatchet killedinanelevator robot english usa r
1654,Meet the Spartans,color jasonfriedberg diedrichbader comedy carmenelectra methodman king persian spartan training xerxes english usa pg-13
1655,Midnight Run,color martinbrest yaphetkotto action comedy crime thriller robertdeniro philipbakerhall accountant bountyhunter fbi mafia mob english usa r
1656,The Running Man,color paulmichaelglaser mariaconchitaalonso action crime sci-fi thriller yaphetkotto richarddawson gameofdeath governmentconspiracy latina oppression police english usa r
1657,Little Shop of Horrors,color frankoz jimbelushi comedy horror musical sci-fi billmurray tishacampbell-martin eclipse florist nerd plant shop english usa pg-13
1658,Hanna,color joewright vickykrieps action drama thriller jessicabarden johnmacmillan assassin femalewarrior martialarts playground training english usa pg-13
1660,Mortal Kombat: Annihilation,color johnr.leonetti talisasoto action adventure fantasy sci-fi thriller brianthompson robinshou alternatereality battle martialarts mortalkombat warrior english usa pg-13
1661,Larry Crowne,color tomhanks robriggle comedy drama romance tomhanks randallpark busstop college communitycollege scooter speechclass english usa pg-13
1662,Carrie,color kimberlypeirce judygreer drama fantasy horror chloëgracemoretz portiadoubleday outcast prom selfinjury telekinesis tragicevent english usa r
1663,Take the Lead,color lizfriedlander yayadacosta drama music alfrewoodard jasikanicole ballroom dance danceteacher student teacher english usa pg-13
1665,Gridiron Gang,color philjoanou jurneesmollett-bell crime drama sport dwaynejohnson kevindunn alliterativetitle football footballcoach footballpractice footballteam english usa pg-13
1666,What's the Worst That Could Happen?,color samweisman larrymiller comedy crime berniemac richardschiff businessman ring thief vulgarity washingtond.c. english usa pg-13
1667,9,color shaneacker alanoppenheimer action adventure animation drama mystery sci-fi thriller martinlandau tomkane hope key machine number ragdoll english usa pg-13
1668,Side Effects,color stevensoderbergh davidcostabile crime drama thriller channingtatum katielowes clinicaltrial femaleprotagonist neuropharmacology psychiatrist sideeffect english usa r
1670,Winnie the Pooh,color stephenj.anderson robertlopez adventure animation comedy family musical craigferguson huellhowser disney owl rabbit sequel tiger english usa g
1671,Dumb and Dumberer: When Harry Met Lloyd,color troymiller mimirogers comedy eldenhenson cherioteri 1980s buddy highschool prequeltocultfavorite teenager english usa pg-13
1672,Bulworth,color warrenbeatty kirkbaltz comedy drama romance warrenbeatty grahambeckel hiphop liberal politics senator truth english usa r
1673,Get on Up,color tatetaylor joshhopkins biography drama music tikasumpter aunjanueellis 1970s 1980s africanamerican breakingthefourthwall mothersonrelationship english usa pg-13
1674,One True Thing,color carlfranklin williamhurt drama merylstreep tomeverettscott cancer job love newyork professor english usa r
1675,Virtuosity,color brettleonard costasmandylor action crime sci-fi thriller denzelwashington tracilords android excop serialkiller virtualcharactercometolife virtualreality english usa r
1676,My Super Ex-Girlfriend,color ivanreitman eddieizzard comedy romance sci-fi rainnwilson wandasykes architect boyfriendgirlfriendrelationship superhero superherospoof supernaturalpower english usa pg-13
1677,Deliver Us from Evil,color scottderrickson dorianmissick horror mystery thriller oliviamunn edgarramírez confession demonicpossession exorcism flickeringlight priest english usa r
1678,Sanctum,color alistergrierson rhyswakefield adventure drama thriller ioangruffudd richardroxburgh cave expedition panic rebreather underwater english usa r
1679,Little Black Book,color nickhurran kevinsussman comedy drama romance hollyhunter daveannable electronicdevices gynecologist littleblackbook plan setup english usa pg-13
1680,The Five-Year Engagement,color nicholasstoller jackiweaver comedy romance alisonbrie davidpaymer kissingwhilehavingsex kitchen referencetoprincessdiana weddingband weddingring english usa r
1681,Mr 3000,color charlesstoneiii chrisnoth comedy drama romance sport berniemac paulsorvino baseball baseballmovie cartoonontv dodgeviper retirement english usa pg-13
1682,The Next Three Days,color paulhaggis danielstern crime drama romance thriller oliviawilde aishahinds argument evidence fingerprints murder murderweapon english usa pg-13
1683,Ultraviolet,color kurtwimmer cameronbright action horror sci-fi thriller millajovovich nickchinlund boy disease hemophagia speed vampire english usa pg-13
1684,Assault on Precinct 13,color jean-françoisrichet dreadematteo action crime drama thriller briandennehy hughdillon criminal mobster newyear'seve police sergeant english usa r
1685,The Replacement Killers,color antoinefuqua cliftoncollinsjr. action crime thriller mirasorvino patrickkilpatrick forger hitman passport police replacement english usa r
1686,Fled,color kevinhooks stephenbaldwin action adventure crime drama romance salmahayek willpatton disk floppydisk mafia prison prisoner english usa r
1687,Eight Legged Freaks,color elloryelkayem douge.doug action comedy horror scarlettjohansson rileysmith creaturefeature humanversusspider spider spiderfeature womansheriff english usa pg-13
1688,Love & Other Drugs,color edwardzwick annehathaway comedy drama romance jakegyllenhaal judygreer femalenudity maleobjectification pfizer viagra zoloft english usa r
1689,88 Minutes,color jonavnet aliciawitt crime drama mystery thriller alpacino deborahkaraunger death fbi forensics murder serialkiller english usa r
1690,North Country,color nikicaro charlizetheron drama jeremyrenner sissyspacek basedontruestory innocence lawsuit mine sexualharassment english usa r
1691,The Whole Ten Yards,color howarddeutch matthewperry comedy crime thriller brucewillis natashahenstridge dentist faceslap flashback hitman killingananimal english usa pg-13
1692,Splice,color vincenzonatali davidhewlett drama horror sci-fi sarahpolley delphinechanéac dna experiment genetics interspeciessex scientist english canada r
1693,Howard the Duck,color willardhuyck jeffreyjones action adventure comedy romance sci-fi leathompson jordanprentice alien duck laser planet singer english usa pg
1694,Pride and Glory,color gavino'connor rickgonzalez crime drama thriller jenniferehle frankgrillo brotherinlaw corruption drugdealer drugs police english usa r
1695,The Cave,color brucehunt colehauser adventure horror thriller eddiecibrian marceliures cave diver diving flare parasite english usa pg-13
1696,Alex & Emma,color robreiner lobosebastian comedy romance davidpaymer robertcostanzo gambling novel stenographer writer writer'sblock english usa pg-13
1697,Wicker Park,color paulmcguigan christophercousins drama mystery romance thriller jessicaparé markcamacho flashback flashbackwithinaflashback multipleperspectives obsession splitscreen english usa pg-13
1698,Fright Night,color craiggillespie reidewing comedy horror gracephipps sandravergara neighbor remake suburb teenager vampire english usa r
1699,The New World,color terrencemalick michaelgreyeyes biography drama history romance christianbale wesstudi captain fort love nativeamerican trade english usa pg-13
1700,Wing Commander,color chrisroberts davidsuchet action adventure sci-fi saffronburrows jürgenprochnow 27thcentury fighterpilot orchestralmusicscore outerspace spaceopera english usa pg-13
1701,In Dreams,color neiljordan aidanquinn drama fantasy thriller robertdowneyjr. paulguilfoyle dream mentalinstitution paddedcell serialkiller suicideattempt english usa r
1702,Dragonball: Evolution,color jameswong texasbattle action adventure fantasy sci-fi thriller ianwhyte randalldukkim bad dragon grandfather orb warrior english usa pg
1703,The Last Stand,color jee-woonkim jamesburnett action crime thriller zachgilford christianaleucas deputy escape fbi modernwestern sheriff english usa r
1704,Godsend,color nickhamm cameronbright drama horror sci-fi thriller robertdeniro munrochambers birthday boy clone cloning doctor english usa pg-13
1705,Chasing Liberty,color andycadiff starksands comedy romance annabellasciorra terencemaynard firstdaughter photographer prague president secretserviceagent english usa pg-13
1706,Hoodwinked Too! Hood vs. Evil,color mikedisa phillamarr animation comedy family amypoehler cheechmarin 3dimensional boxofficeflop criticallybashed redridinghood wolf english usa pg
1707,An Unfinished Life,color lassehallström camrynmanheim drama morganfreeman lyndaboyd abusiveboyfriend bear caraccident ranch wyoming english usa pg-13
1708,The Imaginarium of Doctor Parnassus,color terrygilliam lilycole adventure fantasy mystery andrewgarfield vernetroyer birthday bridge midget rescue sideshow english uk pg-13
1711,Runner Runner,color bradfurman johnheard crime thriller justintimberlake davidcostabile costarica fbiagent gambling money onlinegambling english usa r
1712,Antitrust,color peterhowitt richardroundtree action crime drama thriller tylerlabine nedbellamy boss communications computer genius job english usa pg-13
1713,Glory,color edwardzwick morganfreeman drama history war denzelwashington matthewbroderick army blacksoldier militaryuniform prejudice u.s.civilwar english usa r
1714,Once Upon a Time in America,color sergioleone burtyoung crime drama robertdeniro treatwilliams 1920s ambiguity childhoodfriend newyork speakeasy english italy r
1715,Dead Man Down,color nielsardenoplev isabellehuppert action crime drama thriller dominiccooper jamesbiberi crimelord deadbody deadbodyinafreezer newyorkcity truckexplosion english usa r
1716,The Merchant of Venice,color michaelradford mackenziecrook drama romance alpacino krismarshall debt jew loan merchant poundofflesh english usa r
1717,The Good Thief,color neiljordan saïdtaghmaoui action crime drama romance thriller emirkusturica tchékykaryo casino frenchriviera gambler heist partner english france r
1719,Miss Potter,color chrisnoonan billpaterson biography drama romance emilywatson lucyboynton book children friend illustrator letter english uk pg
1720,The Promise,color kaigechen tobyleonardmoore action drama fantasy dong-gunjang nicholastse armor general king princess slave mandarin china pg-13
1721,DOA: Dead or Alive,color coreyyuen hollyvalance action adventure stevehowey sarahcarter femalefighter island martialarts parachute tournament english usa pg-13
1722,The Assassination of Jesse James by the Coward Robert Ford,color andrewdominik jeremyrenner biography crime drama history western bradpitt samshepard longtitle outlaw robbery train trainrobbery english usa r
1723,1911,color lizhang joanchen action adventure drama history war bingbingli jayceechan china disarmingsomeone qingdynasty stabbedwithabayonet warviolence mandarin china r
1726,Machine Gun Preacher,color marcforster madelinecarroll action biography crime drama gerardbutler kathybaker africa biker church orphanage preacher english usa r
1734,Pitch Perfect 2,color elizabethbanks birgittehjortsørensen comedy music annakendrick hanamaelee 2010s acappella boxofficehit secondpart sequel english usa pg-13
1735,Walk the Line,color jamesmangold dallasroberts biography drama music romance sandraellislafferty tylerhilton 1960s accident concert guitar prison english usa pg-13
1737,Keeping the Faith,color edwardnorton milosforman comedy drama romance lisaedelstein annebancroft celibacy jewish priest rabbi synagogue english usa pg-13
1738,The Borrowers,color peterhewitt bradleypierce adventure comedy family fantasy jimbroadbent markwilliams child'spointofview house lawyer realestate washingmachine english uk pg
1739,Frost/Nixon,color ronhoward clinthoward drama tobyjones oliverplatt americanpresident politicaldrama scandal u.s.president washingtonpostthenewspaper english usa r
1741,Serving Sara,color reginaldhudlin jerrystiller comedy romance matthewperry vincentpastore divorce divorcepapers newyork processserver texas english germany pg-13
1742,The Boss,color benfalcone tylerlabine comedy peterdinklage benfalcone business girlscouts orphanage overweightwoman quittingajob english usa r
1743,Cry Freedom,color richardattenborough kevinmcnally biography drama history denzelwashington penelopewilton activist editor journalist newspaper southafrica english uk pg
1744,Mumford,blackandwhite lawrencekasdan alfrewoodard comedy drama zooeydeschanel marymcdonnell college drugs patient psychologist secret english usa r
1745,Seed of Chucky,color donmancini billyboyd comedy fantasy horror thriller jasonflemyng hannahspearritt actress killerdoll murder vixen vomiting english romania r
1746,The Jacket,color johnmaybury jasonlewis drama mystery sci-fi thriller jenniferjasonleigh angelcoulby gulfwarveteran morgue shotinthehead vermont veteran english usa r
1747,Aladdin,color ronclements frankwelker adventure animation comedy family fantasy musical romance robinwilliams scottweinger arab genie magic princess referencetoathousandandonenights english usa g
1748,Straight Outta Compton,color f.garygray neilbrownjr. biography crime drama history music aldishodge r.marcostaylor concert gangstarap hiphop nwa rapmusic english usa r
1749,Indiana Jones and the Temple of Doom,color stevenspielberg amrishpuri action adventure harrisonford katecapshaw children studiologoseguesintofilm temple village whitedinnerjacket english usa pg
1750,The Rugrats Movie,color igorkovalyov creesummer adventure animation comedy drama family musical elizabethdaily christinecavanaugh baby home hospital lost newbornbaby english usa g
1751,Along Came a Spider,color leetamahori billyburke crime drama thriller morganfreeman monicapotter kidnapping partner ransom school secretservice english usa r
1753,Once Upon a Time in Mexico,color robertrodriguez salmahayek action crime thriller johnnydepp enriqueiglesias agent cia mariachi mexican president english usa r
1754,Die Hard,color johnmctiernan brucewillis action thriller alanrickman reginaldveljohnson christmas christmaseve christmasparty heldatgunpoint hostage english usa r
1755,Role Models,color davidwain kenmarino comedy joelotruglio bobb'ej.thompson absentfather bigbrother communityservice liveactionroleplaying peterpansyndrome english germany r
1756,The Big Short,color adammckay christianbale biography comedy drama history ryangosling charlietalbert bank banking finance fraud mortgage english usa r
1757,Taking Woodstock,color anglee kevinchamberlin comedy drama music imeldastaunton demetrimartin femalefullfrontalnudity femalenudity malefrontalnudity malefullfrontalnudity malenudity english usa r
1758,Miracle,color gavino'connor noahemmerich biography drama history sport eddiecahill kennethmitchell 1980s hockey icehockey olympics sovietunion english usa pg
1759,Dawn of the Dead,color zacksnyder kevinzegers action horror thriller tyburrell mekhiphifer mall mayhem nurse rearentrysex survivalhorror english usa r
1760,The Wedding Planner,color adamshankman judygreer comedy romance matthewmcconaughey alexrocco chickflick doctor horsebackriding wedding weddingplanner english germany pg-13
1762,The Royal Tenenbaums,color wesanderson anjelicahuston comedy drama billmurray seymourcassel brotherbrotherrelationship familyrelationships fatherdaughterrelationship genius thrownthroughawindow english usa r
1763,Identity,color jamesmangold rebeccademornay mystery thriller cleaduvall jakebusey dissociativeidentitydisorder motelroomkey murder storm stranded english usa r
1764,Last Vegas,color jonturteltaub morganfreeman comedy romance robertdeniro romanymalco bachelorparty bloodymarythedrink bouncer brooklynnewyorkcity vegas english usa pg-13
1765,For Your Eyes Only,color johnglen topol action adventure thriller julianglover desmondllewelyn agent british iceskater ship spy english uk pg
1766,Serendipity,color peterchelsom davidsparrow comedy romance lillilavine anntalman christmas destiny fate love serendipity english usa pg-13
1767,Timecop,color peterhyams brucemcgill action crime sci-fi thriller miasara gloriareuben cop corruptpolitician future senator timetravel english canada r
1768,Zoolander,color benstiller alexanderskarsgård comedy millajovovich willferrell fashion malaysia malemodel reporter rival english germany pg-13
1769,Safe Haven,color lassehallström noahlomax drama romance thriller davidlyons mimikirkland abusivehusband chickflick northcarolina secret widower english usa pg-13
1770,Hocus Pocus,color kennyortega omrikatz comedy family fantasy vinessashaw larrybagby candle cat halloween spell virgin english usa pg
1771,No Reservations,color scotthicks lilyrabe comedy drama romance zoëkravitz bobbalaban chef cooking guardian kitchen restaurant english usa pg
1772,Kick-Ass,color matthewvaughn deborahtwiss action comedy elizabethmcgovern michaelrispoli comicbook femalekiller hitinthecrotch narratedbycharacter referencetobatman english uk r
1773,30 Minutes or Less,color rubenfleischer dilshadvadsaria action comedy crime biancakajlich fredward bankheist bankrobbery heistgonewrong pizzadeliveryboy unlikelycriminal english germany r
1774,Dracula 2000,color patricklussier dannymasterson action fantasy horror thriller gerardbutler jeriryan dracula gothic painting rescue vanhelsing english usa r
1775,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",color miguelarteta stevecarell comedy family bellathorne jennifergarner badday basedonbook birthday jobinterview longtitle english usa pg
1776,Pride & Prejudice,color joewright brendablethyn drama romance talulahriley simonwoods bachelor england gentleman georgian love english france pg
1777,Blade Runner,color ridleyscott seanyoung sci-fi thriller harrisonford m.emmetwalsh artificialintelligence humanandroidrelationship megacorporation policedetective technoir english usa r
1778,Rob Roy,color michaelcaton-jones jasonflemyng adventure biography liamneeson ericstoltz 18thcentury highlands scotland sexualcruelty swordfight english usa r
1779,3 Days to Kill,color mcg richardsammel action drama thriller connienielsen tómaslemarquis cancer estrangedwife leatherdress spy terrorist english usa pg-13
1780,We Own the Night,color jamesgray olegtaktarov crime drama thriller robertduvall antonicorone arrest drugs loyalty raid violence english usa r
1781,Lost Souls,color januszkaminski bobclendenin drama horror thriller philipbakerhall benchaplin faith mentalpatient priest scheme teacher english usa r
1783,Just My Luck,color donaldpetrie carlosponce comedy fantasy romance samairearmstrong faizonlove badluck band kiss luck masquerade english usa pg-13
1784,"Mystery, Alaska",color jayroach marymccormack comedy drama sport scottgrimes roneldard alaska malenudity nudity sex smalltown english canada r
1785,The Spy Next Door,color brianlevant ambervalletta action comedy family madelinecarroll georgelopez chinese cia singlemother spy terrorist english usa pg
1786,A Simple Wish,color michaelritchie franciscapra comedy family fantasy marawilson kathleenturner 8yearold convention magic magicwand malefairygodmother english usa pg
1787,Ghosts of Mars,color johncarpenter cleaduvall action horror sci-fi jasonstatham natashahenstridge headonastake machinegun martian nuclearreactor outerspace english usa r
1788,Our Brand Is Crisis,color davidgordongreen zoekazan comedy drama dominicflores scootmcnairy bolivia boxofficeflop inspiredbydocumentary presidentialcampaign year2002 english usa r
1789,Pride and Prejudice and Zombies,color burrsteers bellaheathcote action horror romance mattsmith samriley basedonnovel damselindistress deception england zombie english usa pg-13
1790,Kundun,color martinscorsese tulkujamyangkungatenzin biography drama history war tenzinthuthobtsarong tenchogyalpo chinese dalailama lama tibet tibetan english usa pg-13
1791,How to Lose Friends & Alienate People,color robertb.weide katherineparkinson comedy drama romance jamescorden fenellawoolgar celebrity party pig starlet writer english uk r
1792,Kick-Ass 2,color jeffwadlow donaldfaison action comedy crime chloëgracemoretz augustusprew hitinthecrotch kickedinthecrotch punchedinthecrotch sparring superhero english usa r
1794,Brick Mansions,color camilledelamarre robertmaillet action crime drama thriller paulwalker rza barechestedmalebondage crimelord diehardscenario twowordtitle undercover english france pg-13
1795,Octopussy,color johnglen kabirbedi action adventure thriller louisjourdan stevenberkoff agent egg fabergeegg general russian english uk pg
1796,Knocked Up,color juddapatow martinstarr comedy romance haroldramis charlyneyi onenightstand pregnancy slacker unplannedpregnancy website english usa r
1797,My Sister's Keeper,color nickcassavetes sofiavassilieva drama jasonpatric jeffreymarkle hospital leukemia oncology sickchild terminalillness english usa pg-13
1798,"Welcome Home, Roscoe Jenkins",color malcolmd.lee mikeepps comedy drama romance mo'nique cedrictheentertainer africanamericanprotagonist commaintitle fourwordtitle nameintitle talkshowhost english usa pg-13
1799,A Passage to India,color davidlean judydavis adventure drama history richardwilson artmalik doctor english india magistrate mosque english uk pg
1800,Notes on a Scandal,color richardeyre andrewsimpson crime drama romance thriller phildavis shaunparkes agedifference school student teacher writing english uk r
1801,Rendition,color gavinhood jakegyllenhaal drama thriller j.k.simmons merylstreep american barechestedmalebondage cia detention interrogation english usa r
1803,Star Trek VI: The Undiscovered Country,color nicholasmeyer kurtwoodsmith action adventure sci-fi thriller leonardnimoy nichellenichols captain explosion klingon moon peace english usa pg
1804,Divine Secrets of the Ya-Ya Sisterhood,color calliekhouri fionnulaflanagan drama ellenburstyn matthewsettle flashback interview louisiana playwright secretsociety english usa pg-13
1805,The Jungle Book,color jonfavreau billmurray adventure drama family fantasy scarlettjohansson garryshandling fire jungle remake tiger wolf english uk pg
1806,Kiss the Girls,color garyfleder tonygoldwyn crime drama mystery thriller morganfreeman tatyanaali detective kidnapping punchingaheavybag serialkiller tiedtoatree english usa r
1807,The Blues Brothers,color johnlandis arethafranklin action comedy crime music johnbelushi raycharles band catholic money parolee prison english usa r
1809,Joyful Noise,color toddgraff jeremyjordan comedy music dollyparton jessel.martin barechestedmale chips twowordtitle english usa pg-13
1810,About a Boy,color chrisweitz christopherwebster comedy drama romance sharonsmall petermcnicholl boy friend imaginaryson singlefather singlemother english uk pg-13
1811,Lake Placid,color steveminer bridgetfonda action comedy horror oliverplatt tyolsson crocodile eatenalive lake maine sheriff english usa r
1812,Lucky Number Slevin,color paulmcguigan morganfreeman crime drama mystery thriller brucewillis dorianmissick coroner death gayson love mistakenidentity english germany r
1813,The Right Stuff,color philipkaufman scottglenn adventure drama history dennisquaid samshepard astronaut soundbarrier spaceprogram u.s.airforce u.s.spaceprogram english usa pg
1814,Anonymous,color rolandemmerich joelyrichardson drama history thriller vanessaredgrave rafespall earlofoxford play queen rebellion shakespeareplay english uk pg-13
1816,Dark City,color alexproyas williamhurt action drama fantasy mystery sci-fi thriller rufussewell brucespence memory murder neonoir retrofuturism technoir english australia r
1817,The Duchess,color sauldibb hayleyatwell biography drama history romance dominiccooper charlotterampling duchess duke heir infidelity marriage english uk pg-13
1820,The Newton Boys,color richardlinklater lewtemple action crime drama history western matthewmcconaughey dwightyoakam bankrobber brotherbrotherrelationship crimespree explosive train english usa pg-13
1821,Case 39,color christianalvart callumrennie horror mystery thriller bradleycooper vanesatomasino death fear hairychest socialworker spinninginchair english usa r
1822,Suspect Zero,color e.eliasmerhige kevinchamberlin crime drama mystery thriller harrylennix williammapother fbi fbiagent murder salesman serialkiller english usa r
1823,Martian Child,color mennomeyjes richardschiff comedy drama family oliverplatt sophieokonedo adoptedson adoption boy marstheplanet widower english usa pg
1824,Spy Kids: All the Time in the World in 4D,color robertrodriguez joelmchale action adventure comedy family sci-fi alexapenavega darylsabara 2010s 3dimensional breathholdingcontest childspy spy english usa pg
1825,Money Monster,color jodiefoster jacko'connell crime drama thriller juliaroberts chrisbauer death hostage money shotinthechest shotintheheart english usa r
1826,Formula 51,color ronnyyu junixinocian action comedy crime thriller meatloaf paulbarber americanintheuk druglord drugs gangster organizedcrime english uk r
1827,Flawless,color joelschumacher philipseymourhoffman comedy crime drama robertdeniro chrisbauer gayinterest gayleadcharacter gayrepublican homosexual neighbor english usa r
1828,Mindhunters,color rennyharlin cliftoncollinsjr. crime horror mystery thriller llcoolj eionbailey fbi group island serialkiller training english usa r
1829,What Just Happened,color barrylevinson robinwright comedy drama robertdeniro kristenstewart actor agent beard cannes hollywood english usa r
1830,The Statement,blackandwhite normanjewison colinsalmon drama thriller charlotterampling johnneville eiffeltower nazi police ritual stew english canada r
1832,Paul Blart: Mall Cop,color stevecarr adhirkalyan action comedy crime erickavari allencovert cellphone hostage mall securityguard textmessaging english usa pg
1833,Freaky Friday,color markwaters juliegonzalo comedy family fantasy music romance jamieleecurtis williegarson bodyswap camerashotoffeet footcloseup referencetokeithrichards referencetotherollingstones english usa pg
1834,The 40-Year-Old Virgin,color juddapatow romanymalco comedy romance stevecarell gerrybednob 40yearold caraccident cheatingongirlfriend collection pornomovie english usa r
1835,Shakespeare in Love,color johnmadden martinclunes comedy drama romance tomwilkinson simoncallow actor audition muse playwright theater english usa r
1836,A Walk Among the Tombstones,color scottfrank boydholbrook crime drama mystery thriller liamneeson davidharbour drugdealer excop murderofwife revenge violence english usa r
1837,Kindergarten Cop,color ivanreitman cathymoriarty action comedy crime richardtyson penelopeannmiller astoria kindergarten kindergartenteacher school teacher english usa pg-13
